2026-04-28 12:04:00 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:__init__:24 | MealPlanGeneratorTool initialized
2026-04-28 12:04:00 | INFO     | tools.food_database:get_foods_by_culture:137 | Culture 'western': 23 items
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:generate_daily_plan:71 | Day 1: 1728.0 kcal (target: 2000)
2026-04-28 12:04:00 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:__init__:24 | MealPlanGeneratorTool initialized
2026-04-28 12:04:00 | INFO     | tools.food_database:get_foods_by_culture:137 | Culture 'western': 23 items
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:generate_daily_plan:71 | Day 1: 1760.0 kcal (target: 2000)
2026-04-28 12:04:00 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:__init__:24 | MealPlanGeneratorTool initialized
2026-04-28 12:04:00 | INFO     | tools.food_database:get_foods_by_culture:137 | Culture 'western': 23 items
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:generate_daily_plan:71 | Day 1: 1775.0 kcal (target: 2000)
2026-04-28 12:04:00 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:__init__:24 | MealPlanGeneratorTool initialized
2026-04-28 12:04:00 | INFO     | tools.food_database:get_foods_by_culture:137 | Culture 'sri_lankan': 24 items
2026-04-28 12:04:00 | INFO     | tools.meal_plan_generator:generate_daily_plan:71 | Day 1: 1787.0 kcal (target: 2000)
2026-04-28 12:04:00 | INFO     | observability:log_agent_start:63 | ▶ AGENT START: UserProfileAgent
2026-04-28 12:04:00 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: calculate_bmi
2026-04-28 12:04:00 | INFO     | tools.bmi_calculator:calculate_bmi:110 | BMI calculated: 22.9 (normal) for 70.0kg / 175.0cm
2026-04-28 12:04:00 | INFO     | tools.bmi_calculator:calculate_bmr:149 | BMR calculated: 1674 kcal/day for male, age 25
2026-04-28 12:04:00 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: calculate_bmr
2026-04-28 12:04:00 | INFO     | tools.bmi_calculator:calculate_tdee:175 | TDEE calculated: 2595 kcal/day (activity: moderately_active, multiplier: 1.55)
2026-04-28 12:04:00 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: calculate_tdee
2026-04-28 12:04:00 | INFO     | tools.bmi_calculator:calculate_target_calories:205 | Target calories: 2095 kcal/day (goal: weight_loss, TDEE: 2595)
2026-04-28 12:04:00 | INFO     | observability:log_tool_usage:88 | 🔧 TOOL: calculate_target_calories
2026-04-28 12:04:00 | INFO     | observability:log_agent_end:75 | ✔ AGENT END: UserProfileAgent
2026-04-28 12:04:00 | INFO     | agents.user_profile_agent:user_profile_node:171 | UserProfileAgent complete: Test, target 2095.0 kcal
2026-04-28 12:04:00 | INFO     | tools.bmi_calculator:calculate_bmi:110 | BMI calculated: 25.5 (overweight) for 78kg / 175cm
2026-04-28 12:04:38 | INFO     | tools.food_database:__init__:61 | Food database loaded: 50 items from C:\Users\Lahiru\Desktop\CTSE assignment 2\smart-diet-mas\data\food_database.json
2026-04-28 12:04:38 | INFO     | tools.meal_plan_generator:__init__:24 | MealPlanGeneratorTool initialized
